MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,LEVEL_BIN,N_OBSERVATIONS,BIN_MIN_ACTUAL,BIN_MAX_ACTUAL,BIN_MEAN_ACTUAL,MAE,RMSE,MEAN_ERROR
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,"(12.464, 16.424]",48,12.470001,16.359999,14.574582927083332,2.1340496979166668,2.4789338193892356,1.1356501770833334
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,"(16.424, 19.222]",49,16.439999,19.219997,17.87550979591837,2.7204256530612247,3.803096014469868,1.4718306326530608
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,"(19.222, 30.39]",48,19.23,30.000006,23.314582875,4.058857635416667,5.770438635519219,-1.4744585104166665
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,"(30.39, 150.69]",49,30.65,150.68996,54.69612091836735,27.372815469387753,37.178493197039046,-25.049481714285715
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,"(5.5889999999999995, 12.464]",49,5.59,12.460001,9.654081434693877,1.7100377632653065,2.3308059307121707,1.277912775510204
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,"(1.129, 3.104]",49,1.1299999,3.0800002,2.087346848979592,0.22760811775510204,0.3000069677713237,-0.15609081163265306
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,"(28.748, 46.206]",48,28.859997,45.89999,37.690828395833336,3.5211087916666663,4.825265111729903,-1.882862416666666
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,"(3.104, 7.14]",48,3.1400003,7.0600004,4.460833425,0.7112182458333334,0.9853301108564448,-0.5287498125
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,"(46.206, 72.26]",49,46.410007,72.26001,57.09978881632653,9.726279326530612,11.523036774850734,-7.636810061224489
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,"(7.14, 28.748]",49,7.1600018,28.719992,16.901835712244896,2.566300806122449,4.576159850188741,-2.0175228877551024
