MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,SPIKE_QUANTILE,SPIKE_THRESHOLD,N_ALL,N_SPIKES,N_NON_SPIKES,RMSE_ALL,MAE_ALL,RMSE_SPIKES,MAE_SPIKES,RMSE_NON_SPIKES,MAE_NON_SPIKES,SPIKE_RMSE_PREMIUM
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,recency,0.95,28.66400339999996,243,13,230,15.36655821526596,3.08216438436214,65.88187181547154,38.651757461538466,2.0370338893623026,1.0717091234782608,4.287353803795893
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,recency,0.95,49.48499509999998,243,13,230,92.90667071548808,12.380588811522633,401.3042647640763,192.20033615384617,4.1201264665652095,2.2168639617391306,4.31943434926225
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,recency,0.95,21.622996099999995,243,13,230,1.46737857338497,0.9357231495884775,2.3565763835293256,1.7954395384615387,1.400361274807662,0.8871304841304348,1.6059770983933215
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,recency,0.95,26.906999899999995,243,13,230,3.9897744601942313,1.9752455564609055,12.021287257744257,8.189274923076926,2.9410878228319284,1.624017809652174,3.0130242643237115
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,POS,AVERAGE,168.0,recency,0.95,68.41501239999997,243,13,230,17.27248525367781,7.440115660493827,68.11844155854047,60.09037769230769,7.275548219900966,4.464231284782607,3.9437545065517474
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,POS,MARGINAL,168.0,recency,0.95,110.30499099999996,243,13,230,33.2914695177086,14.056875236625514,129.81324645893145,119.56671076923077,14.781452189777506,8.093275836956522,3.8992945742416207
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,NEG,AVERAGE,168.0,recency,0.95,5.679999999999998,243,13,230,0.5803306326099413,0.34815179872427987,1.6348028605283955,1.2164917307692305,0.4525045288173645,0.29907171560869567,2.8170197619521464
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,NEG,MARGINAL,168.0,recency,0.95,8.973000049999994,243,13,230,1.7583156897332974,0.8864415957201647,6.182562928709343,5.029672892307692,1.0516316534843877,0.6522589572173911,3.5161848152803086
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,POS,AVERAGE,168.0,recency,0.95,30.47800149999999,243,13,230,4.454075198042033,3.0008075711934157,11.226564775345775,10.701442538461539,3.7197242358336853,2.5655542904347826,2.5205153205048854
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,POS,MARGINAL,168.0,recency,0.95,37.204999599999994,243,13,230,6.758601637080763,4.31285494526749,20.7237991508322,18.059951,4.897531358354011,3.5358451682608694,3.066285048837915
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,NEG,AVERAGE,168.0,single,0.95,21.354999699999993,243,13,230,2.857917653297584,1.5656450707818932,9.081758715858163,7.53452123076923,1.9918650177075454,1.2282738095652173,3.177753811548507
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,NEG,MARGINAL,168.0,single,0.95,30.95700019999999,243,13,230,6.6001657396086095,3.248834266666667,22.600233157877273,19.521396,4.141830423317004,2.329080777391304,3.4241917626779883
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,POS,AVERAGE,168.0,single,0.95,6.615998999999995,243,13,230,1.211858950701507,0.7625892967078189,2.7573203726557103,1.7547579153846156,1.0591910592462674,0.7065102008695652,2.275281600271702
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,POS,MARGINAL,168.0,single,0.95,8.348998999999997,243,13,230,2.504745161782159,1.5054084218107,5.886419050641148,4.413907092307692,2.160989872793527,1.3410150186956522,2.3501069651544446
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,NEG,AVERAGE,168.0,single,0.95,15.850998899999993,243,13,230,1.2620854184493189,0.6654986345679013,2.069261853313472,1.7211147692307684,1.2003639006438358,0.6058333747826088,1.639557690045974
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,NEG,MARGINAL,168.0,single,0.95,23.936002999999996,243,13,230,4.612845923782081,1.9283380251028805,16.96487422832246,9.368015269230767,2.492726809658691,1.507834528695652,3.6777456929263592
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,single,0.95,17.267000599999992,243,13,230,4.04884205393861,1.8800466308641974,15.15133932160433,10.046431461538463,2.0843188424332704,1.418468357826087,3.7421413628287863
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,single,0.95,28.057999999999993,243,13,230,20.594109208429018,4.956558990946503,87.59999944038522,43.894610230769224,3.788789790795838,2.75571261652174,4.253643532419998
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,single,0.95,30.666997199999983,243,13,230,3.4729073379976945,1.8649088497942383,10.628711035353339,8.108296307692306,2.5214215015773274,1.5120217326086955,3.0604649076186767
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,single,0.95,38.971993299999994,243,13,230,15.95845299892038,4.8988328806584365,66.83493903207427,46.65444438461538,4.072992700802805,2.5387331000000004,4.188058769643636
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,single,0.95,40.626993999999996,243,13,230,7.666502044212468,3.506134426748971,28.222768240336883,24.590372000000002,4.132357054736018,2.3144166508695654,3.6813096869442017
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,single,0.95,65.84398649999996,243,13,230,16.861063420560452,6.92575555473251,64.31647013929067,58.18155584615385,8.158188309917676,4.02868858173913,3.814496662224928
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,single,0.95,63.1119874,243,13,230,5.372996523585457,2.818151474074074,10.682104824208983,8.825511307692304,4.904210056471032,2.4786050486956523,1.988109386879093
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,single,0.95,80.81896099999997,243,13,230,26.835875213272654,7.412594322222223,108.3369126145292,48.32171646153846,9.873190307116328,5.100339592608696,4.037018049664624
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,single,0.95,28.66400339999996,243,13,230,15.833498794901551,3.706976652674897,67.46589676054116,43.50451976923077,2.7572901782824983,1.4575503026086956,4.260959478031819
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,single,0.95,49.48499509999998,243,13,230,92.85512293092383,12.825531509465025,400.9411925380329,193.35979730769233,4.829271386201521,2.6214208339130436,4.317922155316066
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,single,0.95,21.622996099999995,243,13,230,1.419971769451854,0.8629250869958849,2.9522556470183563,2.201301307692308,1.2797080907942875,0.7872777353913042,2.079094606337141
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,single,0.95,26.906999899999995,243,13,230,3.904776411615641,1.7702605276543208,13.750085022140654,10.00613646153846,2.328692354552931,1.3047544966086952,3.5213501549635247
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,POS,AVERAGE,168.0,single,0.95,68.41501239999997,243,13,230,18.35108983034612,7.371541691358023,70.02100772714003,63.62703484615384,8.869843193558689,4.191883382608696,3.815632116374386
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,POS,MARGINAL,168.0,single,0.95,110.30499099999996,243,13,230,34.168396749414214,13.402342228395062,134.63660586969968,121.4167353846154,14.4532643266225,7.297180876086956,3.9403840589040193
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,NEG,AVERAGE,168.0,single,0.95,5.679999999999998,243,13,230,0.6068173540373276,0.37188888485596705,1.6446265612428583,1.228731969230769,0.4859633164935224,0.32345862356521743,2.7102497156692906
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,NEG,MARGINAL,168.0,single,0.95,8.973000049999994,243,13,230,1.7991018586111343,0.9250249761728394,6.032074459234009,4.7383135076923075,1.1675271382531405,0.7094912765652173,3.3528254280669985
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,POS,AVERAGE,168.0,single,0.95,30.47800149999999,243,13,230,2.5876673894506346,1.6510882057613168,6.77989214290987,6.174843461538462,2.1157415031493545,1.3953976913043478,2.6200786741565154
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,POS,MARGINAL,168.0,single,0.95,37.204999599999994,243,13,230,5.311952628306451,2.967475540329218,17.505508550279426,13.83116123076923,3.534264274594084,2.35344113173913,3.2954941007936864
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,NEG,AVERAGE,42.0,ensemble,0.95,21.354999699999993,243,13,230,3.02721296695634,1.8151543444444442,8.655196512899844,7.015143615384615,2.3340531192458682,1.5212419073913042,2.859130364257809
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,NEG,MARGINAL,42.0,ensemble,0.95,30.95700019999999,243,13,230,7.049857716345283,3.594376687242798,23.821880953906835,19.719929307692308,4.520462577361953,2.682932408695652,3.3790584026504775
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,POS,AVERAGE,42.0,ensemble,0.95,6.615998999999995,243,13,230,1.3886474937014854,1.0091394144032924,2.8137606272836386,1.8170047384615389,1.260887949938523,0.963477461304348,2.0262598247907158
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,POS,MARGINAL,42.0,ensemble,0.95,8.348998999999997,243,13,230,3.392363368006246,2.671637139506173,6.153143970644197,4.8927727153846154,3.1652186209255344,2.546094693913043,1.813822195073552
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,NEG,AVERAGE,42.0,ensemble,0.95,15.850998899999993,243,13,230,1.3239806822682858,0.799863204526749,2.4226138779371214,1.845714,1.232993853444438,0.7407498986956521,1.8297954874890034
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,NEG,MARGINAL,42.0,ensemble,0.95,23.936002999999996,243,13,230,4.777431291524398,2.0047125613168726,18.466603340095716,12.243271569230767,2.199797206193671,1.4260114,3.8653833437347735
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,42.0,ensemble,0.95,17.267000599999992,243,13,230,4.128990662229034,2.0468592567901234,15.259847970486735,10.347737215384615,2.202353034036088,1.5776791982608698,3.695781661624953
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,42.0,ensemble,0.95,28.057999999999993,243,13,230,20.737160857936974,5.259448504115227,87.84886058165496,45.23247788461538,4.258373468528247,3.000103365217391,4.23630125567703
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,42.0,ensemble,0.95,30.666997199999983,243,13,230,4.8640251715998675,2.758669827572016,15.029704070906664,13.377533538461538,3.496879337620785,2.1584731830434785,3.089972510558188
