MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,N_DIRECTIONAL_OBSERVATIONS,DIRECTIONAL_HIT_COUNT,DIRECTIONAL_ACCURACY
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,20_24,POS,AVERAGE,42.0,ensemble,242,202,0.8347107438016529
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,20_24,POS,MARGINAL,42.0,ensemble,242,189,0.78099173553719
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,NEG,AVERAGE,42.0,recency,242,181,0.7479338842975206
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,NEG,MARGINAL,42.0,recency,242,171,0.7066115702479339
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,POS,AVERAGE,42.0,recency,242,149,0.6157024793388429
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,POS,MARGINAL,42.0,recency,242,141,0.5826446280991735
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,NEG,AVERAGE,42.0,recency,242,195,0.8057851239669421
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,NEG,MARGINAL,42.0,recency,242,187,0.7727272727272727
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,42.0,recency,242,158,0.6528925619834711
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,42.0,recency,242,150,0.6198347107438017
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,42.0,recency,242,160,0.6611570247933884
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,42.0,recency,242,164,0.6776859504132231
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,42.0,recency,242,193,0.7975206611570248
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,42.0,recency,242,179,0.7396694214876033
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,42.0,recency,242,197,0.8140495867768595
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,42.0,recency,242,183,0.756198347107438
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,42.0,recency,242,193,0.7975206611570248
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,42.0,recency,242,180,0.743801652892562
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,42.0,recency,242,187,0.7727272727272727
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,42.0,recency,242,182,0.7520661157024794
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,POS,AVERAGE,42.0,recency,242,170,0.7024793388429752
