DATE,PRODUCT,POS_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],POS_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h]
2021-01-15 08:00:00,08_12,7.9396,9.93,0.345,0.45
2021-01-15 12:00:00,12_16,5.21,6.05,0.3335,0.425
2021-01-15 16:00:00,16_20,12.279,14.445,0.3433,0.45
2021-01-15 20:00:00,20_24,1.5618,1.8775,0.4854,0.69
2021-01-16 00:00:00,00_04,0.7767,0.95,2.7566,3.64
2021-01-16 04:00:00,04_08,1.1796,1.455,0.9793,1.25
2021-01-16 08:00:00,08_12,4.1307,4.715,0.3455,0.4375
2021-01-16 12:00:00,12_16,2.5543,2.9475,0.32,0.405
2021-01-16 16:00:00,16_20,5.8246,6.7375,0.3278,0.405
2021-01-16 20:00:00,20_24,1.2371,1.48,0.4682,0.6
2021-01-17 00:00:00,00_04,0.788,0.9,2.86,3.45
2021-01-17 04:00:00,04_08,1.1914,1.34,0.99,1.2325
2021-01-17 08:00:00,08_12,3.4532,3.8275,0.3296,0.395
2021-01-17 12:00:00,12_16,2.3225,2.54,0.3024,0.37
2021-01-17 16:00:00,16_20,5.2289,5.7375,0.303,0.375
2021-01-17 20:00:00,20_24,1.2076,1.37,0.4267,0.52
2021-01-18 00:00:00,00_04,0.7663,0.87,2.8719,3.44
2021-01-18 04:00:00,04_08,1.2213,1.3525,0.8847,1.085
2021-01-18 08:00:00,08_12,4.4967,5.3075,0.2905,0.38
2021-01-18 12:00:00,12_16,2.3269,2.56,0.287,0.365
2021-01-18 16:00:00,16_20,4.8896,5.645,0.2941,0.375
2021-01-18 20:00:00,20_24,1.1185,1.245,0.5642,1.1
2021-01-19 00:00:00,00_04,0.7189,0.915,3.7448,5.45
2021-01-19 04:00:00,04_08,1.1198,1.31,0.9726,1.185
2021-01-19 08:00:00,08_12,3.9621,4.64,0.2936,0.375
2021-01-19 12:00:00,12_16,2.0749,2.29,0.2965,0.375
2021-01-19 16:00:00,16_20,4.3211,4.83,0.293,0.375
2021-01-19 20:00:00,20_24,1.002,1.12,0.7713,1.25
2021-01-20 00:00:00,00_04,0.7343,0.86,6.7737,10.53
2021-01-20 04:00:00,04_08,1.1536,1.32,2.1072,4.54
2021-01-20 08:00:00,08_12,3.657,4.175,0.3243,0.505
2021-01-20 12:00:00,12_16,1.9235,2.3,0.2973,0.3525
2021-01-20 16:00:00,16_20,4.1065,5.21,0.3093,0.3675
2021-01-20 20:00:00,20_24,0.9533,1.095,0.9972,1.32
2021-01-21 00:00:00,00_04,0.6775,0.8125,9.213,16.67
2021-01-21 04:00:00,04_08,1.1084,1.355,4.227,9.07
2021-01-21 08:00:00,08_12,3.4229,3.8525,0.498,1.5875
2021-01-21 12:00:00,12_16,1.6818,1.9525,0.6381,1.8375
2021-01-21 16:00:00,16_20,4.2756,4.99,0.3171,0.5
2021-01-21 20:00:00,20_24,0.9148,1.035,0.9488,1.225
2021-01-22 00:00:00,00_04,0.641,0.7925,8.8836,13.4175
