MODEL,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,RMSE,MAPE,MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE,MODEL_NAME,MODEL_GROUP
bidirectional_lstm_ts168_ensemble,04_08,POS,MARGINAL,16.953259544534426,0.2509156984253745,4.253141722034355,0,0,239,0.5346756152125279,2675.959632316641,0.638210266668475,0.8636663644832285,0.7585283457508585,0.7523157450445301,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,08_12,NEG,AVERAGE,5.806789608145807,0.22172254582695025,3.161675117807906,0,0,362,0.8080357142857143,3771.3071069215375,0.6803032204372947,0.9533033316761348,0.8204962423565209,0.8166569543794566,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,08_12,NEG,MARGINAL,19.690974227880986,0.381950439999141,6.5334644388534,0,0,207,0.46205357142857145,3466.974614567768,0.44927420364554804,0.8416503860922994,0.6290632738959725,0.6380887370356161,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,08_12,POS,AVERAGE,14.128539214950587,0.21909291497382388,5.656251468322564,0,0,441,0.984375,4964.018351632291,0.6840948263475002,0.8863820193010332,0.6788669439748445,0.7491243988391898,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,08_12,POS,MARGINAL,58.353502246368365,0.1810318264132995,10.593889100497705,0,0,276,0.6160714285714286,4464.050023642314,0.7389742586310688,0.5307365474182053,0.3985331095890374,0.5579102347469536,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,12_16,NEG,AVERAGE,6.8981629499542745,0.17320421531576713,4.177765147336151,0,0,440,0.9821428571428571,8392.864747558602,0.7502607159925294,0.9445267955177649,0.7628078425025687,0.81850907398417,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,12_16,NEG,MARGINAL,22.92183622670289,0.22538187011058228,8.776574600755419,0,0,372,0.8303571428571429,8528.442611642575,0.6750269226007823,0.815668647241709,0.5017109407603486,0.664244417724945,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,12_16,POS,AVERAGE,11.680531314806059,0.2510849058913836,2.9220716189889715,0,0,226,0.5044642857142857,2517.297737846633,0.6379662902078975,0.9060682522595842,0.8340997046921272,0.7911639644647499,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,12_16,POS,MARGINAL,69.11609958624263,0.29152191067947025,9.118971298426173,0,0,142,0.3169642857142857,1854.1481762513731,0.579661077457893,0.4441865822570079,0.4822714058472132,0.5028159024100766,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,16_20,NEG,AVERAGE,1.6573746936674256,0.21176090654521437,0.911512221008431,0,0,325,0.7254464285714286,2966.1684605044884,0.6946666853057791,0.9866718304637753,0.948248993741517,0.8747105449917114,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
